"Search Criteria:"

"Lease Type: Both"
"Original Authority Date: 09/20/2017 to 09/20/2018"

"UIC No.","API No.",District,"Lease No.","Lease Name","Well No.","Field Name","Operator Name",County,Oil/Gas,"Formation Names"
000115846,23933803,02,11296,"WEST RANCH (41-A/98-A CONS) UNIT",1112,"WEST RANCH (41-A & 98-A CONS.)","HILCORP ENERGY COMPANY",JACKSON,Oil,FRIO
000115847,44731808,7B,14821,"MORRISON ""B""",1,"RICHARDS RANCH (HOME CREEK)","COOPER OIL & GAS, LLC",THROCKMORTON,Oil,"HOME CREEK"
000115848,47537305,08,000000,,1D,,,WARD,,"BELL CANYON, CHERRY CANYON"
000115849,23933799,02,11296,"WEST RANCH (41-A/98-A CONS) UNIT",1107,"WEST RANCH (41-A & 98-A CONS.)","HILCORP ENERGY COMPANY",JACKSON,Oil,FRIO
000115850,23933873,02,11296,"WEST RANCH (41-A/98-A CONS) UNIT",1175,"WEST RANCH (41-A & 98-A CONS.)","HILCORP ENERGY COMPANY",JACKSON,Oil,FRIO
000115851,23933802,02,11296,"WEST RANCH (41-A/98-A CONS) UNIT",1111,"WEST RANCH (41-A & 98-A CONS.)","HILCORP ENERGY COMPANY",JACKSON,Oil,FRIO
000115852,23933792,02,11296,"WEST RANCH (41-A/98-A CONS) UNIT",1106,"WEST RANCH (41-A & 98-A CONS.)","HILCORP ENERGY COMPANY",JACKSON,Oil,FRIO
000115853,50338248,09,31450,"F. DAWS ""1682""",8,"DAWS (STRAWN 3500)","COOPER OIL & GAS, LLC",YOUNG,Oil,STRAWN
000115854,46132600,7C,12372,"WILSON -O-",1,"PEGASUS, W. (BEND)","HENDERSON & ERICKSON, INC.",UPTON,Oil,"FUSSELMAN/ELLENBURGER/GRANITE WASH"
000115855,48544877,09,31714,"ASHROD EAST",9,"WICHITA COUNTY REGULAR","WHITE KNIGHT PRODUCTION LLC",WICHITA,Oil,"DELMAR SAND"
000115856,50339497,09,33467,MCCLUSKEY,3,"YOUNG COUNTY REGULAR","RAY HERRING OPERATING CO., LLC",YOUNG,Oil,STRAWN
000115857,13543511,08,49462,"COWDEN 9",2,"COWDEN, SOUTH","RAPTOR PETROLEUM DEVELOP, LLC",ECTOR,Oil,"CLEAR FORK"
000115858,02301069,09,01434,"GREEN UNIT",3,"SEYMOUR POOL","COOPER OIL & GAS, LLC",BAYLOR,Oil,"CANYON REEF"
000115859,24932584,04,278658,"SHAEFFER RANCH","E  7","ROMERO TRAP (R)","MERTZ ENERGY LLC","JIM WELLS",Gas,"R SAND/PETTUS"
000115860,16538285,8A,69587,"RUSSELL CLEARFORK UNIT",693,"RUSSELL (CLEARFORK CONSOLIDATED","XTO ENERGY INC.",GAINES,Oil,"CLEAR FORK"
000115861,23536163,7C,16944,"TEAGUE 9",17,"FUNK (SAN ANDRES)","BANNER OPERATING, LLC",IRION,Oil,"SAN ANDRES"
000115862,23535999,7C,16944,"TEAGUE 9",15,"FUNK (SAN ANDRES)","BANNER OPERATING, LLC",IRION,Oil,"SAN ANDRES"
000115863,42981340,7B,06257,"ROGERS, R. M. -D-","D  8","GOURLEY (STRAWN SAND)","JEFF DOOLEY OPERATING, LLC",STEPHENS,Oil,STRAWN
000115864,10542379,08,21736,"SOUTH CROSS UNIT",281,"CROSSETT, S. (DETRITAL)","OCCIDENTAL PERMIAN LTD.",CROCKETT,Oil,"DEVONIAN THIRTYONE/DEVONIAN MAY PAY"
000115865,16501659,8A,69587,"RUSSELL CLEARFORK UNIT",62W,"RUSSELL (CLEARFORK CONSOLIDATED","XTO ENERGY INC.",GAINES,Oil,"CLEAR FORK"
000115866,39132944,02,11481,"WILLIAMS, MAUDE ET AL -C-",8,"TOM OCONNOR (5800)","HILCORP ENERGY COMPANY",REFUGIO,Oil,FRIO
000115867,10542380,08,21736,"SOUTH CROSS UNIT",277,"CROSSETT, S. (DETRITAL)","OCCIDENTAL PERMIAN LTD.",CROCKETT,Oil,"DEVONIAN THIRTYONE/DEVONIAN MAY PAY"
000115868,22700000,08,000000,,1,,,HOWARD,,"ELLENBURGER/GRANITE WASH"
000115869,16731357,03,284384,RUBEL,1,"GREENS LAKE (MIOCENE 5200)","HILCORP ENERGY COMPANY",GALVESTON,Gas,MIOCENE
000115870,41535316,8A,03137,"SACROC UNIT",320-5A,KELLY-SNYDER,"KINDER MORGAN PRODUCTION CO LLC",SCURRY,Oil,"CISCO, CANYON REEF"
000115871,41535306,8A,03137,"SACROC UNIT",320-7A,KELLY-SNYDER,"KINDER MORGAN PRODUCTION CO LLC",SCURRY,Oil,"CISCO, CANYON REEF"
000115872,31740873,08,50087,"SULPHUR DRAW SWD",1,"SPRABERRY (TREND AREA)","RUGER PROPERTIES, LLC",MARTIN,Oil,"SAN ANDRES/GLORIETA"
000115873,22739131,08,000000,,2,,,HOWARD,,DEVONIAN/FUSSELMAN/MONTOYA/ELLENBURGER
000115874,41535325,8A,03137,"SACROC UNIT",322-1A,KELLY-SNYDER,"KINDER MORGAN PRODUCTION CO LLC",SCURRY,Oil,"CISCO/CANYON REEF"
000115875,41535326,8A,03137,"SACROC UNIT",322-4A,KELLY-SNYDER,"KINDER MORGAN PRODUCTION CO LLC",SCURRY,Oil,"CISCO/CANYON REEF"
000115876,41535327,8A,03137,"SACROC UNIT",327-5,KELLY-SNYDER,"KINDER MORGAN PRODUCTION CO LLC",SCURRY,Oil,CISCO/CANYON
000115877,16532725,8A,66166,"FLANAGAN UNIT",45GL,"FLANAGAN (CLEARFORK, CONS.)","OCCIDENTAL PERMIAN LTD.",GAINES,Oil,"GLORIETA, CLEAR FORK"
000115878,41535331,8A,03137,"SACROC UNIT",327A-7,KELLY-SNYDER,"KINDER MORGAN PRODUCTION CO LLC",SCURRY,Oil,"CISCO/CANYON REEF"
000115879,32930927,08,35794,"FIRST UNITED METHODIST CHURCH B",1,"SPRABERRY (TREND AREA)","CHEVRON U. S. A. INC.",MIDLAND,Oil,"GRAYBURG/SAN ANDRES"
000115880,10933171,08,000000,,2,,,CULBERSON,,DEVONIAN-ELLENBURGER
000115881,20132897,03,10496,"WEBSTER FIELD UNIT",6001,WEBSTER,"DENBURY ONSHORE, LLC",HARRIS,Oil,"MIOCENE, FLEMING"
000115882,00936446,09,22937,"NIEDCO-WUCKOWITSCH ""A""",2,"ARCHER COUNTY REGULAR","LEONARD BROTHERS OPERATING CO.",ARCHER,Oil,"THOMAS, GUNSIGHT"
000115886,50336703,09,23210,"MORELAND, BRITTON",2,"MORELAND (STRAWN)","J B J OIL PROPERTIES, INC.",YOUNG,Oil,STRAWN
000115887,11533652,08,46058,"MORGAN DAWSON",3601WB,"SPRABERRY (TREND AREA)","CHOLLA PETROLEUM, INC.",DAWSON,Oil,WOLFCAMP
000115888,50136849,8A,62689,"WASSON NORTH CLEARFORK UNIT",182,"WASSON, NE. (CLEAR FORK)","OCCIDENTAL PERMIAN LTD.",YOAKUM,Oil,"CLEAR FORK"
000115889,50136846,8A,62689,"WASSON NORTH CLEARFORK UNIT",183,"WASSON, NE. (CLEAR FORK)","OCCIDENTAL PERMIAN LTD.",YOAKUM,Oil,"CLEAR FORK"
000115890,13538972,08,49256,"JOHNSON J. L. 'O'",12WD,"COWDEN, NORTH (CLEAR FORK)","OXY USA INC.",ECTOR,Oil,"CLEAR FORK"
000115891,37139680,08,000000,,2,,,PECOS,,"DELAWARE SANDS"
000115892,05937114,7B,00469,"HENDERSON, E. E. -B-",3,"CALLAHAN COUNTY REGULAR","WILSON WELL SERVICE INC.",CALLAHAN,Oil,COOK
000115893,22700000,08,000000,,1SW,,,HOWARD,,"SAN ANDRES"
000115894,38936072,08,49643,BOREAS,1D,"PHANTOM (WOLFCAMP)","PDC PERMIAN, INC.",REEVES,Oil,"BELL CANYON, CHERRY CANYON, BRUSHY CANYON"
000115895,38936668,08,49757,"ARPENT 21602 SWD #2",2,"ORLA, SOUTHEAST (DELAWARE)","BTA OIL PRODUCERS, LLC",REEVES,Oil,DELAWARE
000115896,19731242,09,24677,"H&H UNIT",2,"RED ASP (CHAPPEL)","RIO PETROLEUM, INC.",HARDEMAN,Oil,CHAPPEL
000115897,17337815,08,49992,"MARBILL SWD",1,"SPRABERRY (TREND AREA)","GOODNIGHT MIDSTREAM PERMIAN, LLC",GLASSCOCK,Oil,ELLENBURGER
000115898,49533606,08,02618,HENDRICKS-M,15A,HENDRICK,"STOUT ENERGY INC.",WINKLER,Oil,"YATES, SEVEN RIVERS"
000115899,00983671,09,01241,LINDEMANN-EDWARDS,1,"SCOTLAND (CADDO LIME)","CHOLLA PETROLEUM, INC.",ARCHER,Oil,"CADDO LIME"
000115900,23784109,09,33661,BRISCOE,1,"ANTELOPE,S.E. (MARBLE FALLS)","CARIBOU OPERATING, INC.",JACK,Oil,STRAWN
000115901,38936325,08,49669,DUNIGAN,1D,"PHANTOM (WOLFCAMP)","ENERGEN RESOURCES CORPORATION",REEVES,Oil,"DELAWARE MOUNTAIN GROUP"
000115902,07331566,06,15580,"CECIL MARTIN SWD WELL",1,"GOOD OMEN (WOODBINE, NORTH)","JAMEX, INC.",CHEROKEE,Oil,WOODBINE
000115903,07933369,8A,000000,,1P,,,COCHRAN,,"LOWER SAN ANDRES-SILURIAN"
000115904,16530048,08,000000,,6,,,GAINES,,"SAN ANDRES"
000115905,38936071,08,000000,,1,,,REEVES,,"BELL CANYON, CHERRY CANYON, BRUSHY CANYON"
000115906,31741041,08,000000,,3,,,MARTIN,,"WOODFORD, ELLENBURGER"
000115907,14933087,03,172478,"WECHETA UNIT",1H,"GIDDINGS (AUSTIN CHALK, GAS)","RAMTEX ENERGY LLC",FAYETTE,Gas,WILCOX
000115908,41533375,8A,70663,"MIRAGE WATERFLOOD UNIT",9,"MIRAGE (STRAWN)","CAZADOR OPERATING, LLC",SCURRY,Oil,STRAWN
000115909,16538616,8A,70650,"DAYTON ELAM SWD",1,"CARM-ANN (SAN ANDRES)","PARALLEL PETROLEUM LLC",GAINES,Oil,"GLORIETA, CLEAR FORK, TUBB"
000115910,16931340,8A,70708,"LOTT A SWD",1W,"ODONNELL, NE. (SPRABERRY)","SMITH ENERGY OPERATING COMPANY",GARZA,Oil,"SAN ANDRES, CLEAR FORK, SPRABERRY"
000115911,00942885,09,33486,"LMH UNIT",1,HULL-SILK-SIKES,"LMH ENERGY",ARCHER,Oil,STRAWN
000115912,09783942,09,14837,"WESTBROOK, J. C.",1,"COOKE COUNTY REGULAR","TAYLOR & SMITH",COOKE,Oil,"STRAWN, BRUHLMEYER"
000115913,48531433,09,05231,"DOUGLAS, L. P.",25,"WICHITA COUNTY REGULAR","ACADIA OIL, LLC",WICHITA,Oil,GUNSIGHT
000115914,38935763,08,000000,,2,,,REEVES,,"DELAWARE SANDS"
000115916,38936148,08,49744,BRIGHAM,01SW,"PHANTOM (WOLFCAMP)","RESOLUTE NATURAL RES. CO., LLC",REEVES,Oil,"CHERRY CANYON"
000115917,48533783,09,17655,FOSTER,9,"WICHITA COUNTY REGULAR","ACADIA OIL, LLC",WICHITA,Oil,"CISCO SAND"
000115918,22700000,08,000000,,1,,,HOWARD,,ELLENBURGER
000115919,49500000,08,000000,,201SD,,,WINKLER,,"YATES, QUEEN"
000115920,41535344,8A,03137,"SACROC UNIT",77-8A,KELLY-SNYDER,"KINDER MORGAN PRODUCTION CO LLC",SCURRY,Oil,"CISCO, CANYON REEF"
000115921,41535342,8A,03137,"SACROC UNIT",15315H,KELLY-SNYDER,"KINDER MORGAN PRODUCTION CO LLC",SCURRY,Oil,"CISCO, CANYON REEF"
000115922,50136861,8A,19151,"BENNETT RANCH UNIT",3431,WASSON,"OCCIDENTAL PERMIAN LTD.",YOAKUM,Oil,"SAN ANDRES"
000115923,50136862,8A,19151,"BENNETT RANCH UNIT",3428,WASSON,"OCCIDENTAL PERMIAN LTD.",YOAKUM,Oil,"SAN ANDRES"
000115924,49505719,08,47618,"CAMPBELL, SETH","4 W","KEYSTONE (CONSOLIDATED)","APACHE CORPORATION",WINKLER,Oil,"CLEAR FORK"
000115925,49505724,08,47618,"CAMPBELL, SETH",5,"KEYSTONE (CONSOLIDATED)","APACHE CORPORATION",WINKLER,Oil,"CLEAR FORK"
000115926,49533530,08,47618,"CAMPBELL, SETH",75,"KEYSTONE (CONSOLIDATED)","APACHE CORPORATION",WINKLER,Oil,"CLEAR FORK"
000115927,35333616,7B,30389,"JOE YOUNG",22,"HARDROCK (KING SAND)","MID-CON ENERGY OPERATING, LLC",NOLAN,Oil,"KING SAND"
000115928,50339089,09,22688,WALKER,4,"BURCH (STRAWN)","G. A. HAWKINS OPERATING, LLC",YOUNG,Oil,STRAWN
000115929,32730989,7C,14766,"RUSSELL HEIRS",4,"SHAHEEN (HARKEY 3500)","RUSSELL PRODUCING, LLC",MENARD,Oil,"COOK, KING"
000115930,10732150,8A,68049,"COLLIER -5-",4,"HOOPLE (CLEAR FORK)","BRIDWELL OIL CO.",CROSBY,Oil,"CLEAR FORK"
000115931,30100000,08,000000,,1,,,LOVING,,"DELAWARE, BELL CANYON, CHERRY CANYON"
000115932,30100000,08,000000,,1,,,LOVING,,"DELAWARE, BELL CANYON, CHERRY CANYON"
000115933,22700000,08,000000,,1,,,HOWARD,,"MONTOYA, ELLENBURGER"
000115934,50136865,8A,70615,"LACKEY  'AB'",2,"OWNBY, WEST (SAN ANDRES)","TEXLAND PETROLEUM, L.P.",YOAKUM,Oil,"SAN ANDRES"
000115935,30133481,08,000000,,1,,,LOVING,,RUSTLER
000115936,22739571,08,50014,"NEWTON 10 SWD",2,"SPRABERRY (TREND AREA)","H2O MIDSTREAM PERMIAN LLC",HOWARD,Oil,"SAN ANDRES"
000115937,16538628,8A,60475,"SEMINOLE SAN ANDRES UNIT",1505R,"SEMINOLE (SAN ANDRES)","OXY USA INC.",GAINES,Oil,"SAN ANDRES"
000115938,16538639,08,49788,"ELAM 13",1D,"BLOCK A-34 (SAN ANDRES)","RING ENERGY, INC.",GAINES,Oil,"LOWER GLORIETA, CLEAR FORK, WICHITA-ALBANY"
000115939,22700000,08,000000,,1,,,HOWARD,,"MONTOYA, ELLENBURGER"
000115940,30100000,08,000000,,2,,,LOVING,,
000115941,30100000,08,000000,,2,,,LOVING,,"DELAWARE, BELL CANYON, CHERRY CANYON"
000115942,30100000,08,000000,,2,,,LOVING,,"DELAWARE, BELL CANYON, CHERRY CANYON"
000115943,31700000,08,000000,,1,,,MARTIN,,"FUSSELMAN, MONTOYA, SIMPSON, ELLENBURGER"
000115944,22700000,08,000000,,1,,,HOWARD,,"FUSSELMAN, MONTOYA, SIMPSON, ELLENBURGER"
000115945,30133673,08,50362,"UNIVERSITY NECHES 19-23",1D,"QUITO, WEST (DELAWARE)","SHELL WESTERN E&P",LOVING,Oil,"DELAWARE, BELL CANYON, CHERRY CANYON, BRUSHY CANYON"
000115946,30133697,08,50381,"UNIVERSITY NOLAN 19-23",1D,"QUITO, WEST (DELAWARE)","SHELL WESTERN E&P",LOVING,Oil,"DELAWARE, BELL CANYON, CHERRY CANYON, BRUSHY CANYON"
000115947,38936777,08,49892,"COWDEN SWD",1,"TUNSTILL (CHERRY CANYON -F-)","CM ORLA RANCH, LLC",REEVES,Oil,"DELAWARE, BELL CANYON, CHERRY CANYON"
000115948,38900000,08,000000,,2,,,REEVES,,"DELAWARE, BELL CANYON, CHERRY CANYON"
000115949,16537680,08,43285,"FOSTER '7'",2,"SPRABERRY (TREND AREA)","THOMPSON, J. CLEO",GAINES,Oil,"SAN ANDRES"
000115950,50136889,8A,19151,"BENNETT RANCH UNIT",3429,WASSON,"OCCIDENTAL PERMIAN LTD.",YOAKUM,Oil,"SAN ANDRES"
000115951,50136891,8A,19151,"BENNETT RANCH UNIT",3430,WASSON,"OCCIDENTAL PERMIAN LTD.",YOAKUM,Oil,"SAN ANDRES"
000115952,22700000,08,000000,,1,,,HOWARD,,"FUSSELMAN, MONTOYA, SIMPSON, ELLENBURGER"
000115953,16538618,8A,70713,"SCHNITZENGIGGLE 259",1,"ROBERTSON, N. (CLEAR FORK 7100)","ADVENTURE OPERATING COMPANY, LLC",GAINES,Oil,"LOWER SAN ANDRES"
000115954,41900000,06,000000,,8,,,SHELBY,,"RODESSA, PETTIT,"
000115955,41900000,06,000000,,7,,,SHELBY,,"RODESSA, PETTIT,"
000115956,38935886,08,49745,"APC 57-1-33",1D,"PHANTOM (WOLFCAMP)","APC WATER HOLDINGS 1, LLC",REEVES,Oil,"BELL CANYON, CHERRY CANYON, BRUSHY CANYON"
000115957,22735811,08,37786,"WOULD HAVE EAST SIDE UNIT",1708,"WOULD HAVE (CLEARFORK)","FOUNDATION ENERGY MANAGEMENT LLC",HOWARD,Oil,"CLEAR FORK"
000115958,49533728,08,50309,BECKHAM,1,"CRITTENDON (CHERRY CANYON)","IMPETRO OPERATING LLC",WINKLER,Oil,"CHERRY CANYON"
000115959,31741128,08,000000,,1D,,,MARTIN,,"SAN ANDRES"
000115960,50136885,8A,19151,"BENNETT RANCH UNIT",3432,WASSON,"OCCIDENTAL PERMIAN LTD.",YOAKUM,Oil,"SAN ANDRES"
000115961,50136896,8A,19151,"BENNETT RANCH UNIT",3433,WASSON,"OCCIDENTAL PERMIAN LTD.",YOAKUM,Oil,"SAN ANDRES"
000115962,50136881,8A,19151,"BENNETT RANCH UNIT",3426,WASSON,"OCCIDENTAL PERMIAN LTD.",YOAKUM,Oil,"SAN ANDRES"
000115963,50136892,8A,19151,"BENNETT RANCH UNIT",3427,WASSON,"OCCIDENTAL PERMIAN LTD.",YOAKUM,Oil,"SAN ANDRES"
000115964,50136867,8A,19151,"BENNETT RANCH UNIT",4418,WASSON,"OCCIDENTAL PERMIAN LTD.",YOAKUM,Oil,"SAN ANDRES"
000115965,50136872,8A,19151,"BENNETT RANCH UNIT",4419,WASSON,"OCCIDENTAL PERMIAN LTD.",YOAKUM,Oil,"SAN ANDRES"
000115966,29735371,02,000000,,1,,,"LIVE OAK",,HOCKLEY
000115967,47130389,03,27161,GEMINI,1,"BLISS (YEGUA B)","SANTA ROSA OPERATING, LLC",WALKER,Oil,YEGUA
000115968,38900000,08,48646,"ORLA BRINE",1A,"JESS BURNER (DELAWARE 3800)","TALL CITY BRINE LLC",REEVES,Oil,CASTILLE
000115969,22739542,08,000000,,1,,,HOWARD,,SALADO
000115970,22702564,08,04549,"WINANS, LOU",1,"OCEANIC (PENNSYLVANIAN)","SABALO OPERATING, LLC",HOWARD,Oil,"PENNSYLVANIAN, CANYON"
000115971,25335393,7B,31421,DAVIS,3,"JONES COUNTY REGULAR","ORLAND OIL & GAS LLC",JONES,Oil,SWASTIKA
000115972,35333536,7B,31679,OXO,6502,"LEN BRYANS (ELLENBURGER)","MID-CON ENERGY OPERATING, LLC",NOLAN,Oil,"CISCO LIME"
000115973,30133866,08,50264,"FOX SWD",1,"MASON, N. (DELAWARE SAND)","MESQUITE SWD INC",LOVING,Oil,"DELAWARE SAND"
000115974,30133867,08,50264,"FOX SWD",2,"MASON, N. (DELAWARE SAND)","MESQUITE SWD INC",LOVING,Oil,"DELAWARE SAND"
000115975,31741203,08,000000,,1,,,MARTIN,,"FUSSELMAN, MONTOYA, ELLENBURGER"
000115976,48588889,09,12282,"BURNETT -B-",11,"WICHITA COUNTY REGULAR","ACADIA OIL, LLC",WICHITA,Oil,"CISCO SANDS"
000115977,30100000,08,000000,,1,,,LOVING,,"DELAWARE, BELL CANYON, CHERRY CANYON"
000115978,30100000,08,000000,,1,,,LOVING,,"DELAWARE, BELL CANYON, CHERRY CANYON"
000115979,00983673,09,01242,EDWARDS,1,"SCOTLAND (CADDO LIME)","CHOLLA PETROLEUM, INC.",ARCHER,Oil,"CADDO LIME"
000115980,33783182,09,04176,HOWARD-DENNIS,17A,"MONTAGUE COUNTY REGULAR","PEBA OIL & GAS, INC.",MONTAGUE,Oil,CISCO
000115981,00337541,08,33228,HANCOCK,6,"NIX (CLEARFORK)","BRIDWELL OIL CO.",ANDREWS,Oil,"CLEAR FORK"
000115982,49533968,08,47618,"CAMPBELL, SETH",110W,"KEYSTONE (CONSOLIDATED)","APACHE CORPORATION",WINKLER,Oil,"CLEAR FORK"
000115983,18101853,09,31699,"BIG MINERAL CREEK (UV SAND) UNIT",509W,"BIG MINERAL CREEK (UV SAND UNIT)","JETTA OPERATING COMPANY, INC.",GRAYSON,Oil,"UV SAND"
000115984,40901657,04,284100,"WELDER, MINNIE S.",20,"PORTILLA (4050)","FROSTWOOD ENERGY, LLC","SAN PATRICIO",Gas,FRIO
000115985,48544691,09,16790,"WILLIAMSON, CARL ESTATE",28,"WICHITA COUNTY REGULAR","FELTY DRILLING CO. INC",WICHITA,Oil,GUNSIGHT
000115986,40932949,04,283863,"WELDER, MINNIE S.",95,"PORTILLA (4050)","FROSTWOOD ENERGY, LLC","SAN PATRICIO",Gas,FRIO
000115987,26131350,04,203505,"ARMSTRONG, TOBIN",3,"CANDELARIA (CONSOLIDATED)","HEADINGTON ENERGY PARTNERS, LLC",KENEDY,Gas,"CATAHOULA, FRIO"
000115988,39133035,02,11337,"MAUDE WILLIAMS ET AL 'A'",84,"TOM O'CONNOR (5350 SAND)","HILCORP ENERGY COMPANY",REFUGIO,Oil,FRIO
000115989,14933034,03,23311,"KOCIAN OL",1H,"GIDDINGS (AUSTIN CHALK-3)","RAMTEX ENERGY LLC",FAYETTE,Oil,WILCOX
000115990,38936030,08,41513,"ORLA FIVE SWD",2,"JESS BURNER (DELAWARE 3800)","NGL WATER SOLUTIONS PERMIAN, LLC",REEVES,Oil,"DELAWARE SANDS"
000115991,39133018,02,01798,"HEARD, CLAUDE E. ET AL",41,"TOM OCONNOR (4400)","HILCORP ENERGY COMPANY",REFUGIO,Oil,FRIO
000115992,37139710,08,000000,,1,,,PECOS,,"DELAWARE MOUNTAIN GROUP, BELL CANYON, CHERRY CANYON,, BRUSHY CANYON"
000115993,38936032,08,41513,"ORLA FIVE SWD",4,"JESS BURNER (DELAWARE 3800)","NGL WATER SOLUTIONS PERMIAN, LLC",REEVES,Oil,"DELAWARE SANDS"
000115994,15132690,7B,31344,"HAMLIN UNIT",6,"KEELER-WIMBERLY (CANYON SD.)","MERCURY OPERATING, LLC",FISHER,Oil,"CANYON SAND"
000115995,41709060,7B,30887,"COOK RANCH 60SH",40,"COOK RANCH","STASNEY WELL SERVICE, LLC",SHACKELFORD,Oil,TANNEHILL
000115996,16538621,8A,70250,"KINDER MORGAN BERGEN","I 30AR","TALL COTTON (SAN ANDRES)","KINDER MORGAN PRODUCTION CO LLC",GAINES,Oil,"SAN ANDRES"
000115997,42936419,7B,10233,"CURRY UNIT",1118,"STEPHENS COUNTY REGULAR","BASA RESOURCES, INC.",STEPHENS,Oil,CADDO
000115998,42934198,7B,10233,"CURRY UNIT",2224,"STEPHENS COUNTY REGULAR","BASA RESOURCES, INC.",STEPHENS,Oil,CADDO
000116000,19933601,03,000000,,1,,,HARDIN,,YEGUA
000116001,32132129,03,000000,,1WD,,,MATAGORDA,,"FRIO, TEX MISS"
000116002,38936159,08,49898,"BETTY LOU 16",4WD,"BALMORHEA RANCH (BELL CANYON L)","WATERBRIDGE TEXAS OPERATING LLC",REEVES,Oil,"BELL CANYON, CHERRY CANYON"
000116003,39934763,7C,15298,ERNST,1A,"WINTERS, NORTH","LONE STAR PRODUCTION",RUNNELS,Oil,GOEN
000116004,38936018,08,49970,"WBR 1",1SW,"ROJO CABALLOS (DELAWARE)","PRI OPERATING, LLC",REEVES,Oil,DELAWARE
000116005,38936012,08,50094,"PUFF ADDER 16",1SW,"ROJO CABALLOS (DELAWARE)","PRI OPERATING, LLC",REEVES,Oil,DELAWARE
000116006,13700000,01,000000,,6,,,EDWARDS,,
000116007,39100476,02,08569,"TOM O'CONNOR (5730 FT. SD.) UNIT","A 46","TOM O'CONNOR (5730, EAST)","HILCORP ENERGY COMPANY",REFUGIO,Oil,FRIO
000116008,39100454,02,08569,"TOM O'CONNOR (5730 FT. SD.) UNIT","A 58","TOM O'CONNOR (5730, EAST)","HILCORP ENERGY COMPANY",REFUGIO,Oil,FRIO
000116009,44532090,8A,67783,CHRISTINE,2,"KINGDOM (CLEARFORK 7500)","BOAZ ENERGY II OPERATING, LLC",TERRY,Oil,"CLEAR FORK UPPER, TUBB, CLEAR FORK LOWER"
000116010,17331922,08,23191,"POWELL,E.L.""B""",7,"BLALOCK LAKE,S.(WOLFCAMP)","OCCIDENTAL PERMIAN LTD.",GLASSCOCK,Oil,WOLFCAMP
000116011,23900553,02,09214,"SPACEK, FRANK",02,"GANADO, WEST","FROSTWOOD ENERGY, LLC",JACKSON,Oil,FRIO
000116012,23930410,02,09214,"SPACEK, FRANK",9,"GANADO, WEST","FROSTWOOD ENERGY, LLC",JACKSON,Oil,FRIO
000116013,41738773,7B,29419,ROUGHHOLLOW,5,"SHACKELFORD COUNTY REGULAR","ORLAND OIL & GAS LLC",SHACKELFORD,Oil,"COOK, HOPE"
000116014,31741024,08,000000,,1,,,MARTIN,,ELLENBURGER
000116015,16536095,8A,18371,ODC,4H,"SEMINOLE, NW. (DEVONIAN FB 2)","JOINT RESOURCES COMPANY",GAINES,Oil,DEVONIAN
000116016,38936265,08,000000,,4WD,,,REEVES,,"BELL CANYON, CHERRY CANYON"
000116017,00942881,09,33435,"RICHARDSON -A-",3,"ARCHER COUNTY REGULAR","3D PETROLEUM CORP.",ARCHER,Oil,GUNSIGHT
000116018,41739619,7B,03564,"COOK, W. I.",3788W,"COOK RANCH","STASNEY WELL SERVICE, LLC",SHACKELFORD,Oil,"BLUFF CREEK SAND"
000116019,50136894,8A,19151,"BENNETT RANCH UNIT",5420,WASSON,"OCCIDENTAL PERMIAN LTD.",YOAKUM,Oil,"SAN ANDRES"
000116020,50136900,8A,19151,"BENNETT RANCH UNIT",5421,WASSON,"OCCIDENTAL PERMIAN LTD.",YOAKUM,Oil,"SAN ANDRES"
000116021,50136899,8A,19151,"BENNETT RANCH UNIT",5422,WASSON,"OCCIDENTAL PERMIAN LTD.",YOAKUM,Oil,"SAN ANDRES"
000116022,50136898,8A,19151,"BENNETT RANCH UNIT",5423,WASSON,"OCCIDENTAL PERMIAN LTD.",YOAKUM,Oil,"SAN ANDRES"
000116023,50136886,8A,19151,"BENNETT RANCH UNIT",5424,WASSON,"OCCIDENTAL PERMIAN LTD.",YOAKUM,Oil,"SAN ANDRES"
000116024,17300000,08,000000,,3A,,,GLASSCOCK,,"SAN ANDRES"
000116025,39101171,02,08874,"TOM O'CONNOR (4150 FT. SD.) UNIT",W227A,"TOM O'CONNOR (4150)","HILCORP ENERGY COMPANY",REFUGIO,Oil,"FRIO 4150"
000116026,20103306,03,01301,STONE,3,"DURKEE (FAIRBANKS SAND)","AMERICO ENERGY RESOURCES, LLC",HARRIS,Oil,"FAIRBANKS SAND"
000116027,37139463,08,000000,,1SW,,,PECOS,,"CHERRY CANYON"
000116028,35100081,03,11547,"KURTH, J.H., JR. -A-",2,"NEWTON, N. (YEGUA 5TH)","FOUNDATION ENERGY MANAGEMENT LLC",NEWTON,Oil,MIOCENE
000116029,23902087,02,00880,"MITCHELL ESTATE",20,"LOLITA (MARGINULINA ZONE)","TRINIDAD RESOURCES, LLC",JACKSON,Oil,MARGINULINA
000116030,32941307,08,43735,"SOA SCHARBAUER SE",0041WB,"PARKS (CONSOLIDATED)","CHEVRON U. S. A. INC.",MIDLAND,Oil,"WOLFCAMP B"
000116031,32941326,08,43735,"SOA SCHARBAUER SE",0043WB,"PARKS (CONSOLIDATED)","CHEVRON U. S. A. INC.",MIDLAND,Oil,"WOLFCAMP B"
000116032,32941338,08,43735,"SOA SCHARBAUER SE",0051WB,"PARKS (CONSOLIDATED)","CHEVRON U. S. A. INC.",MIDLAND,Oil,"WOLFCAMP B"
