,CauseofLoss,CommNbr,County,DateofLoss,District,Facility,FieldNumber,FieldNumber.1,Form Number,Gasident,GrossLoss,Into_Water,LeaseName,LeaseNumber,Location,MasterYear,Net Loss,OperatorNumber,Recovered,Remarks,Remedy,TypeLiquid,Type_Company_Cd,Unique_ID,Water,WaterName
2614,Corrosion - Rust,0.0,STERLING,3/23/2012,8,Tank Battery,"HERRELL, EAST (QUEEN SAND)",,115.0,0.0,30.0,,"HERRELL, E. QUEEN SAND UNIT",30592.0,CENTRAL TANK BATTERY,2012.0,5.0,APACHE CORPORATION,25.0,RECOVERED FREE FLUID AND REMEDIATED AREA.,Other,Crude,Producer,,None,
2615,Equipment Failure,0.0,GONZALES,3/23/2012,1,Tank Battery,EAGLEVILLE (EAGLE FORD-1),,114.0,0.0,43.0,,EDWARDS UNIT,15442.0,N 29.25278 W97.53801,2012.0,0.0,"EOG RESOURCES, INC.",43.0,PICKED UP FREE FLUID AND WASHED AND CLEANED FIREWALL.,Other,Crude,Producer,,None,
2616,Equipment Failure,0.0,MARTIN,3/22/2012,8,Tank Battery,SPRABERRY (TREND AREA),,174.0,0.0,17.0,,SOUTH CURTIS RANCH,40691.0,SEC.14 BLK 39 T-1-N T&P RR CO,2012.0,2.0,OCCIDENTAL PERMIAN LTD.,15.0,VACUUMED FREE FLUID AND REMEDIATED SOIL.,Other,Crude,Producer,,None,
2617,Equipment Failure,0.0,LOVING,3/22/2012,8,Tank Battery,HALEY (LWR. WOLFCAMP-PENN CONS.),,199.0,236089.0,42.0,,APC 75-31,0.0,N 31.8703333 DEGREES LAT. W -103.3671667 DEGREES LONG.,2012.0,2.0,ANADARKO PETROLEUM CORPORATION,40.0,VACUUMED FREE FLUID AND REMEDIATED AREA.,Other,Crude,Producer,,None,
2618,Equipment Failure,0.0,ECTOR,3/22/2012,8,Tank Battery,COWDEN (PENN DETRITAL),,158.0,0.0,7.0,,WESTBEND COMMERCIAL SWD,32582.0,SEC.8 BLK. 43 T&P RR,2012.0,3.0,RUST OIL CORP.,4.0,VACUUMED FREE FLUID AND REMEDIATED AREA.,Other,Crude,Producer,,None,
2619,Theft,0.0,HIDALGO,3/22/2012,4,Tank Battery,NO FIELD NAME,,1006.0,0.0,202.0,,WASSON SOUTH CLEARFORK UNIT,53426.0,"JEFFERS #5 CRUDE OIL STORAGE TANKS, BLK.488 SVY F.H. KILBRIDE",2012.0,202.0,"EL PASO E & P COMPANY, L. P.",0.0,TANKS EXPLODED DURING ATTEMPTED THEFT.,Other,Crude,Producer,,None,
2620,Equipment Failure,0.0,MARTIN,3/22/2012,8,Tank Battery,SPRABERRY (TREND AREA),,374.0,0.0,17.0,,SOUTH CURTIS RANCH,40691.0,"SEC.14 BLK. 39, T-1-N, T&P RR CO.",2012.0,2.0,OCCIDENTAL PERMIAN LTD.,15.0,VACUUMED FREE FLUID AND REMEDIATED AREA.,Other,Crude,Producer,,None,
2621,Human Error - Other,0.0,HOCKLEY,3/22/2012,8A,Flow Line,SLAUGHTER,,1003.0,0.0,130.0,,SLAUGHTER ESTATE UNIT,18105.0,"LAB 4, LGE 40, MCSL",2012.0,30.0,OCCIDENTAL PERMIAN LTD.,100.0,VACUUM FREE FLUID AND SOIL REMEDIATION PLAN IN PROGRESS,Other,Crude,Producer,,None,
2622,Equipment Failure,0.0,GAINES,3/22/2012,8A,Flow Line,"JENKINS, NORTH (CLEAR FORK)",,267.0,0.0,10.0,,"JENKINS, SAM C.",64495.0,"SECTION 10, BLOCK AX PSL",2012.0,2.0,"DEVON ENERGY PRODUCTION CO, L.P.",8.0,VACUUMED FREE FLUIDS AND REMEDIATED AREA.,Other,Crude,Producer,,None,
2623,Equipment Failure,0.0,GALVESTON,3/21/2012,3,Tank Battery,"HITCHCOCK, NE. (FRIO 9100)",,272.0,97060.0,2300.0,,"HUFF ""A"" UNIT",0.0,"29 21' 1.2""N, 95 0'15.5W",2012.0,416.0,DUNE OPERATING COMPANY,1884.0,SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
2624,Equipment Failure,0.0,FAYETTE,3/21/2012,3,Stuffing Box,GIDDINGS (AUSTIN CHALK-3),,214.0,0.0,8.0,,BILLIE JEAN,16421.0,ASA WALKER A-316,2012.0,8.0,"SELLERS LEASE SERVICE, INC.",0.0,SOIL REMEDIATION IN PROGRESS.,Other,Crude,Producer,,None,
2625,Equipment Failure,0.0,YOAKUM,3/21/2012,8A,Pipe Line,WASSON,,110.0,0.0,15.0,,ROBERTS UNIT,19212.0,SATELLITE #27 PRODUCTION TRUNK LINE,2012.0,5.0,APACHE CORPORATION,10.0,FREE FLUID RECOVERED AND SOIL REMEDIATED.,Other,Crude,Producer,,None,
2626,Equipment Failure,0.0,LOVING,3/21/2012,8,Tank Battery,HALEY (LWR. WOLFCAMP-PENN CONS.),,200.0,236089.0,110.0,,APC 75-31,0.0,N 31.8703333 DEGREES LAT. W-103.3671667 DEGREES LONG.,2012.0,1.0,ANADARKO PETROLEUM CORPORATION,109.0,VACUUMED FREEE FLUID. SOIL REMEDIATION IN PROGRESS.,Other,Crude,Producer,,None,
2627,Act of God,0.0,NACOGDOCHES,3/20/2012,6,Tank Battery,"DOUGLASS, W. (TRAVIS PEAK)",,193.0,222325.0,30.0,,CINDY SUE GU 1,0.0,MANUEL DE LOS SANTOS COY A-21,2012.0,30.0,"SAMSON LONE STAR, LLC",0.0,LIGHTNING STRIKE. VACUUMED FREE FLUID AND SOIL REMEDIATED,Other,Gas Well Liquid,Producer,,Creek,CREEK
2628,Act of God,1620.0,LIVE OAK,3/20/2012,2,Tank Battery,NO FIELD NAME,,292.0,0.0,172.0,,TEXACO Q,0.0,"SECTION 383, GC & SF RR, A-636",2012.0,172.0,WAGNER OIL COMPANY,0.0,OIL BURNED IN FIREWALL. NO OIL ON GROUND.REBUILT FIREWALL.,Other,Crude,Producer,,None,
2629,Human Error - Other,0.0,UPTON,3/20/2012,7C,Tank Battery,BLUE DANUBE (BEND),,119.0,0.0,20.0,,"OWENS, ELLA",12352.0,"SEC. 38 BLK. B, TC RR SURVEY",2012.0,10.0,XTO ENERGY INC.,10.0,VACUUMED FREE FLUIDS AND SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
2630,Other,0.0,IRION,3/20/2012,7C,Tank Battery,BAKER RANCH (CANYON),,176.0,79909.0,60.0,,"TANKERSLEY, MYRA 18",0.0,SECTION 18 SURVEY G.C. & S.F. RR CO.,2012.0,60.0,ATROPOS EXPLORATION COMPANY,0.0,SOIL MIXED IN PLACE AND REMEDIATED.,Other,Crude,Producer,,None,
2631,Act of God,1632.0,LIVE OAK,3/20/2012,2,Tank Battery,NO FIELD NAME,,293.0,0.0,28.0,,TEXACO Q,0.0,"SECTION 383, GC & SF RR, A-636",2012.0,28.0,WAGNER OIL COMPANY,0.0,OIL BURNED IN FIREWALL. NO OIL ON GROUND. FIREWALL REBUILT.,Other,Crude,Producer,,None,
2632,Act of God,0.0,LAVACA,3/20/2012,2,Tank Battery,DRY HOLLOW (WILCOX LAMPLEY),,254.0,223659.0,81.0,,DAGG RANCH,0.0,DAGG RANCH ABSTRACT,2012.0,81.0,"EL PASO E & P COMPANY, L. P.",0.0,LIGHTNING STRIKE AND VACUUM FREE FLUID AND REMEDIATE AREA.,Other,Crude,Producer,,None,
2633,Company Human Error,0.0,MIDLAND,3/20/2012,8,Pipe Line,NO FIELD NAME,,112.0,0.0,96.0,,SALT LAKE SWD,0.0,"HUTT STATION OIL TANK - T&P RR CO., 38, T3S",2012.0,4.0,"ATLAS PL MID-CONT. WESTTEX, LLC",92.0,VACUUMED FREE FLUID AND REMEDIATION PLAN IN PROGRESS.,Other,Crude,Other,,None,
2634,Equipment Failure,0.0,MIDLAND,3/19/2012,8,Other,SPRABERRY (TREND AREA),,201.0,0.0,220.0,,GREENWOOD SWD,24352.0,INT.307 & 1379 CONT. E ON 307 FOR 3.7MI. TO LOCATION,2012.0,20.0,ENDEAVOR ENERGY RESOURCES L.P.,200.0,SOIL REMEDIATION PLAN IN PROGRESS,Other,Crude,Producer,,None,
2635,Equipment Failure,0.0,UPTON,3/19/2012,7C,Tank Battery,SPRABERRY (TREND AREA),,177.0,0.0,45.0,,FLORENCE,16311.0,"SEC.39 BLK. C, CCSD & RGNG RR CO.",2012.0,3.0,COG OPERATING LLC,42.0,VACUUMED FREE FLUID AND REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
2636,Act of God,0.0,CARSON,3/19/2012,10,Tank Battery,PANHANDLE CARSON COUNTY FIELD,,442.0,0.0,32.0,,BURNETT -V-,40.0,"SEC.116, BLOCK 4, T&GN SURVEY",2012.0,32.0,"LOSURE, KEN",0.0,LIGHTNING STRIKE. AREA BEING REMEDIATED.,Other,Crude,Producer,,None,
2637,Equipment Failure,0.0,ECTOR,3/19/2012,8,Tank Battery,TXL (SAN ANDRES),,166.0,0.0,45.0,,PARKER,13353.0,MAN-WAY PLATE ON 210 BBL OIL TANK,2012.0,5.0,APACHE CORPORATION,40.0,RECOVERED FREE FLUID AND REMEDIATED AREA.,Other,Crude,Producer,,None,
2638,Company Human Error,0.0,CRANE,3/19/2012,8,Flow Line,DUNE,,959.0,0.0,20.0,,UNIVERSITY LANDS 30,41966.0,#1H WELL PRODUCTION FLOWLINE,2012.0,18.0,APACHE CORPORATION,2.0,FREE FLUID RECOVERED AND SOIL REMEDIATION PLAN IN PROGRESS,Other,Crude,Producer,,None,
2639,Vandalism,0.0,MIDLAND,3/19/2012,8,Tank Battery,SPRABERRY (TREND AREA),,111.0,0.0,200.0,,SALT LAKE SWD,39655.0,"S ON 349 TO RR 1213 E FOR 3, TO CR1160 S 3M TO LEASE ROAD",2012.0,25.0,"ACME ENERGY SERVICES, INC.",175.0,SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
2640,Act of God,0.0,MARTIN,3/19/2012,8,Tank Battery,SPRABERRY (TREND AREA),,163.0,0.0,60.0,,"SAWYER ""3""",39330.0,"32.272131, -101.855288",2012.0,10.0,"PIONEER NATURAL RES. USA, INC.",50.0,LIGHTNING STRIKE. SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
2641,Equipment Failure,0.0,ECTOR,3/18/2012,8,Tank Battery,"GOLDSMITH, W. (SAN ANDRES)",,164.0,0.0,80.0,,TXL -P-,15854.0,"SEC.29, BLK 44, T-1-N, T&P RR CO SURVEY A-348",2012.0,40.0,"CAMBRIAN MANAGEMENT, LTD.",40.0,SEPARATOR REPAIRED. SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
2642,Equipment Failure,0.0,MIDLAND,3/18/2012,8,Tank Battery,SPRABERRY (TREND AREA),,113.0,0.0,40.0,,"COLEMAN, BEULAH",40903.0,"SEC.8, BLK 37 TS3, T&P RR CO/FOWLER, FA SURVEY A-905",2012.0,20.0,ABRAXAS PETROLEUM CORPORATION,20.0,VACUUMED FREE FLUID AND REMEDIATED AREA.,Other,Crude,Producer,,None,
2643,Equipment Failure,0.0,HOCKLEY,3/17/2012,8A,Flow Line,SMYER,,168.0,0.0,5.0,,"ELLWOOD ""A""",6169.0,BATTERY #8 TEST SITE,2012.0,1.0,APACHE CORPORATION,4.0,RECOVERED FREE FLUID AND REMEDIATED AREA.,Other,Crude,Producer,,None,
2644,Human Error - Other,0.0,GLASSCOCK,3/16/2012,8,Pipe Line,SPRABERRY (TREND AREA),,1088.0,0.0,65.0,,HARDY 18,41707.0,NE SIDE OF HARDY 18 CENTRAL TANK BATTERY,2012.0,5.0,APACHE CORPORATION,60.0,SOIL REMEDIATED AND PRODUCTION LINE REPAIRES,Other,Crude,Producer,,None,
2645,Company Human Error,0.0,ANDREWS,3/16/2012,8,Tank Battery,FUHRMAN-MASCHO,,122.0,0.0,90.0,,"UNIVERSITY ""9""",35009.0,"SEC. 19, BLK 13, UNIVERSITY LANDS SURVEY",2012.0,2.0,"SANDRIDGE EXPL. AND PROD., LLC",88.0,FREE FLUIDS COLLECTED AND SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
2646,Equipment Failure,0.0,DUVAL,3/16/2012,4,Tank Battery,"LOPEZ, SE. (CONSOLIDATED)",,126.0,230687.0,137.0,,FROST BANK/PEAL RANCH UNIT,0.0,"27.678917, -98.773207",2012.0,47.0,"CARRIZO OIL & GAS, INC.",90.0,TRANSPORT TRUCK ON LOCATION RECOVERED CONDENSATE TO SALES.,Other,Gas Well Liquid,Producer,,None,
2647,Equipment Failure,0.0,OLDHAM,3/15/2012,10,Tank Battery,MANARTE (GRANITE WASH UPPER),,124.0,0.0,150.0,,ALAMOSA -315-,3662.0,BLOCK H-3,2012.0,30.0,CITATION OIL & GAS CORP.,120.0,VACUUMED FREE FLUID AND REPAIRED EQUIPMENT.,Other,Crude,Producer,,None,
2648,Company Human Error,0.0,MIDLAND,3/15/2012,8,Tank Battery,SPRABERRY (TREND AREA),,159.0,0.0,27.0,,WARD,31228.0,"31.971040, -102.048962",2012.0,27.0,"PIONEER NATURAL RES. USA, INC.",0.0,SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
2649,Equipment Failure,0.0,WARD,3/15/2012,8,Tank Battery,"WARD, SOUTH",,453.0,0.0,23.0,,"JOHNSON, W.D.-ARCO",7199.0,"SEC.9, BLK. 34, H&TC",2012.0,8.0,"EAGLE ROCK OPERATING COMPANY,LLC",15.0,AREA REMEDIATED.,Other,Crude,Producer,,None,
2650,Equipment Failure,0.0,ANDREWS,3/15/2012,8,Tank Battery,SPRABERRY (TREND AREA),,161.0,0.0,20.0,,"UNIVERSITY ""6-45""",39937.0,UNIVERSITY 6-39 6-45,2012.0,10.0,"PIONEER NATURAL RES. USA, INC.",10.0,VACUUMED FREE FLUID AND SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
2651,Equipment Failure,0.0,ECTOR,3/14/2012,8,Pipe Line,TXL (TUBB),,167.0,0.0,80.0,,TXL SOUTH UNIT,20726.0,STATION #20 PRODUCTION TRUNK LINE,2012.0,30.0,APACHE CORPORATION,50.0,FREE FLUID RECOVERED AND SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
2652,Equipment Failure,0.0,LA SALLE,3/14/2012,1,Tank Battery,EAGLEVILLE (EAGLE FORD-1),,1194.0,0.0,150.0,,HIXON-LARSON 'C' UNIT,16159.0,"SEC.24 1/2,SURVEY I&GN RR CO.LAT.28 20 55.46N, LONG 99 10 11.38W",2012.0,150.0,"EP ENERGY E&P COMPANY, L.P.",0.0,DIRT WAS EXCAVATED AND AREA REMEDIATED.,Other,Crude,Producer,,None,
2653,Equipment Failure,0.0,UPTON,3/14/2012,7C,Valve,SPRABERRY (TREND AREA CL. FK.),,468.0,0.0,12.0,,LONG,11623.0,"SEC.37, BLK. C, SURVEY CCSD&RGNG",2012.0,2.0,ATLAS OPERATING LLC,10.0,SOIL TILLED AND MIXED WITH FRESH DIRT.,Other,Crude,Producer,,None,
2654,Equipment Failure,0.0,WALLER,3/14/2012,3,Tank Battery,BROOKSHIRE,,189.0,0.0,13.0,,CHICHA,23949.0,"WILLIAM COOPER LEAGUE, ABSTRACT NO. 20, WALLER, CO., TX",2012.0,0.0,"LAYLINE PETROLEUM I, LLC",13.0,VACUUMED FREE FLUID AND REMEDIATED SOIL.,Other,Crude,Producer,,None,
2655,Equipment Failure,0.0,GONZALES,3/13/2012,1,Tank Battery,EAGLEVILLE (EAGLE FORD-1),,1155.0,0.0,20.0,,WHYBURN UNIT,15888.0,"GATES, SH SURVEY, ABS.228",2012.0,20.0,"EOG RESOURCES, INC.",0.0,EXCAVATED AREA AND REMEDIATED SOIL.,Other,Crude,Producer,,None,
2656,Act of God,0.0,LIPSCOMB,3/13/2012,10,Tank Battery,LIPSCOMB (CLEVELAND),,426.0,248768.0,258.0,,GENEVIEVE NOWLIN UNIT,0.0,SEC.459 BLK,2012.0,258.0,MEWBOURNE OIL COMPANY,0.0,LIGHTNING STRIKE.,Other,Gas Well Liquid,Producer,,None,
2657,Equipment Failure,0.0,MITCHELL,3/12/2012,8,Flow Line,WESTBROOK,,222.0,0.0,116.0,,WESTBROOK SOUTHWEST UNIT,21120.0,TRACT 10 BLOCK 42,2012.0,116.0,MERIT ENERGY COMPANY,0.0,SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
2658,Corrosion - Rust,0.0,COKE,3/12/2012,7C,Pipe Line,NO FIELD NAME,,117.0,0.0,10.0,,"HERRELL, E. QUEEN SAND UNIT",0.0,"NEAR SILVER, TX GPS: 32.05132 AND 100.67623",2012.0,10.0,SUNOCO PIPELINE L.P.,0.0,SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Transporter,,None,
2659,Equipment Failure,0.0,REAGAN,3/12/2012,7C,Tank Battery,SPRABERRY (TREND AREA),,696.0,0.0,125.0,,SUGG-A-,16507.0,"THREE BLUFF DRAW SW, BLCOK 157 (T&P RR CO)",2012.0,14.0,"LAREDO PETROLEUM - DALLAS, INC.",111.0,EXCAVATION PF 1323 CUBIC YARDS OF IMPACTED SOIL.,Other,Crude,Producer,,None,
2660,Equipment Failure,0.0,GLASSCOCK,3/12/2012,8,Tank Battery,SPRABERRY (TREND AREA),,169.0,0.0,16.0,,SPRABERRY DRIVER UNIT,15400.0,"16 MI. SW OF GARDEN CITY, W OF HWY 137. N31 41.441 W 101 41.445",2012.0,6.0,"PIONEER NATURAL RES. USA, INC.",10.0,SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
2661,Equipment Failure,0.0,WARD,3/11/2012,8,Tank Battery,TWO GEORGES (BONE SPRING),,151.0,0.0,160.0,,PRUETT 20,40758.0,"SECTION 20, BLOCK 1, W&NW RR CO. SURVEY",2012.0,20.0,ENERGEN RESOURCES CORPORATION,140.0,VACUUMED FREE FLUID AND SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
2662,Corrosion - Rust,0.0,MIDLAND,3/11/2012,8,Pipe Line,GERMANIA (GRAYBURG),,172.0,0.0,15.0,,GERMANIA (GRAYBURG) UNIT,25017.0,"SEC.14, BLOCK 37, T2S, T&P RR CO. SURVEY",2012.0,10.0,"FASKEN OIL AND RANCH, LTD.",5.0,SOIL HAS BEEN REMEDIATED.,Other,Crude,Producer,,None,
2663,Vandalism,0.0,GONZALES,3/11/2012,1,Tank Battery,EAGLEVILLE (EAGLE FORD-1),,1076.0,0.0,403.0,,STAFFORD UNIT,15894.0,"HILL, W. ABS. 27",2012.0,53.0,"EOG RESOURCES, INC.",350.0,EXCAVATED SOIL AND REMEDIATED AREA.,Other,Combined,Producer,,None,
2664,Equipment Failure,0.0,PANOLA,3/11/2012,6,Tank Battery,PANOLA (GOODLAND LIME),,156.0,244902.0,5.0,,LA GRONE,0.0,618' FNL & 268'FSL ADAM LAGRONE SURVEY A-391,2012.0,5.0,SUNDOWN ENERGY LP,0.0,SOIL REMEDIATION PLAN IN PROGRESS.,Other,Gas Well Liquid,Producer,,Creek,CREEK
2665,Equipment Failure,0.0,UPTON,3/10/2012,7C,Tank Battery,SPRABERRY (TREND AREA),,1046.0,0.0,2.0,,POWELL 24 A,8735.0,"SEC.24, BLK. 40, T&P RR CO. SURVEY",2012.0,2.0,ATLAS OPERATING LLC,0.0,"AREA CLEANED, TILLED AND MIXED.",Other,Crude,Producer,,None,
2666,Equipment Failure,870.0,NACOGDOCHES,3/9/2012,6,Stuffing Box,NO FIELD NAME,,194.0,0.0,30.0,,CINDY SUE GU 1,0.0,"G.P STEWART #1 CTB, RRC 066023, COMMINGLING #0870",2012.0,8.0,"SAMSON LONE STAR, LLC",22.0,VACUUMED FREE FLUID. SOIL REMEDIATION PLAN IN PROGRESS.,Other,Gas Well Liquid,Producer,,None,
2667,Equipment Failure,0.0,GLASSCOCK,3/8/2012,8,Tank Battery,SPRABERRY (TREND AREA),,810.0,0.0,65.0,,BARBEE-B-,40571.0,"SEC.5, ABSTRACT 76 CCSD & RGNG RR CO",2012.0,5.0,"LAREDO PETROLEUM - DALLAS, INC.",60.0,VACUUMED FREE FLUID AND REMEDIATED AREA.,Other,Crude,Producer,,None,
2668,Equipment Failure,0.0,WINKLER,3/8/2012,8,Pipe Line,NO FIELD NAME,,153.0,0.0,40.0,,8802 JV-P FUHRMAN,0.0,SECTION 21 BLOCK 77 GPS: N 31' 56.741 W 103' 03.882,2012.0,10.0,"SOUTHERN UNION GAS SERVICES, LTD",30.0,SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Other,,None,
2669,Act of God,0.0,SHELBY,3/8/2012,6,Tank Battery,NO FIELD NAME,,192.0,744737.0,15.0,,"LANGHAM, EMILY -B-",0.0,"ARCH SMITH SVY, A-641",2012.0,15.0,"SAMSON LONE STAR, LLC",0.0,LIGHTNING STRIKE. VACUUMED FREE FLUID AND REMEDIATED AREA.,Other,Gas Well Liquid,Producer,,None,
2670,Equipment Failure,0.0,ECTOR,3/8/2012,8,Tank Battery,GOLDSMITH (CLEAR FORK),,181.0,0.0,12.0,,GOLDSMITH ADOBE UNIT,37943.0,"SEC.39, BLK 45, T&P RR CO",2012.0,2.0,"SANDRIDGE EXPL. AND PROD., LLC",10.0,FREE FLUIDS RECOVERED AND SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
2671,Vandalism,0.0,WHEELER,3/8/2012,10,Tank Battery,FRYE RANCH (CONSOLIDATED),,1265.0,275413.0,70.0,,REED 31 SL,0.0,SECTION 32 BLK. A3 H&GN RR (OFFSITE STORAGE FACILITY),2012.0,60.0,"LINN OPERATING, INC.",10.0,REMEDIATED AREA.,Other,Gas Well Liquid,Producer,,None,
2672,Well Blow Out,0.0,LOVING,3/8/2012,8,Stuffing Box,PHANTOM (WOLFCAMP),,173.0,0.0,6.0,,JOHNSON RANCH 1-49,40751.0,N31.691574 LAT. W-103.481601 LONG.,2012.0,2.0,ANADARKO PETROLEUM CORPORATION,4.0,VACUUUMED FREE FLUID AND REMEDIATED SOIL.,Other,Crude,Producer,,None,
2673,Theft,0.0,LIVE OAK,3/7/2012,2,Tank Battery,CLAY WEST (WILCOX 10400),,252.0,254984.0,200.0,,PATRICK HUGH BURNS,0.0,"WESLEY SELMAN, A-416",2012.0,200.0,"JAMEX, INC.",0.0,"STOLEN, REPORTED TO POLICE.",Other,Crude,Producer,,None,
2674,Equipment Failure,0.0,ECTOR,3/7/2012,8,Tank Battery,GOLDSMITH (CLEAR FORK),,182.0,0.0,22.0,,GOLDSMITH ADOBE UNIT,37943.0,SEC.37 BLK 45 T&P SURVEY,2012.0,2.0,"SANDRIDGE EXPL. AND PROD., LLC",20.0,FREE FLUIDS RECOVERED AND SOIL REMEDIATION PLAN IN PROGRESS,Other,Crude,Producer,,None,
2675,Company Human Error,0.0,ANDERSON,3/6/2012,6,Tank Battery,"TENNESSEE COLONY (ROD., LO.)",,1201.0,0.0,13.0,,"CARROLL, J. S.",1791.0,M. RIONDO SURVEY,2012.0,5.0,"SOUTHWEST OPERATING, INC.-TYLER",8.0,FREE FLUIDS RECOVERED AND SOIL REMEDIATED.,Other,Products,Producer,,None,
2676,Equipment Failure,0.0,UPTON,3/6/2012,7C,Tank Battery,SPRABERRY (TREND AREA),,118.0,0.0,65.0,,SANDY,15651.0,"SEC.38, BLK 42, T4S, T&P RR CO SURVEY",2012.0,3.0,SM ENERGY COMPANY,62.0,SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
2677,Equipment Failure,0.0,REAGAN,3/5/2012,7C,Tank Battery,NO FIELD NAME,,133.0,0.0,112.0,,OLIVER,0.0,"BLOCK B, SECTION 44, SURVEY L&SV RR CO.",2012.0,2.0,ATLAS PIPELINE MID-CONTINENT LLC,110.0,VACUUMED FREE FLUID AND SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Other,,None,
2678,Equipment Failure,0.0,HOWARD,3/5/2012,8,Tank Battery,SPRABERRY (TREND AREA),,1095.0,0.0,15.0,,NEWTON 5,41510.0,"467'FSL & 2050'FEL, SEC.4 & THE SE/4 OF SEC.5, BLK 33, T&P RR CO. ",2012.0,3.0,"CROWNQUEST OPERATING, LLC",12.0,VACUUMED FREE FLUID AND REPAIRED LEAK.AREA REMEDAITION IN PROGRESD,Other,Gas Well Liquid,Producer,,None,
2679,Human Error - Other,0.0,YOAKUM,3/5/2012,8A,Tank Battery,WASSON,,1259.0,0.0,15.0,,DENVER UNIT,18910.0,SATELLITE 31C,2012.0,3.0,OCCIDENTAL PERMIAN LTD.,12.0,VACUUMED STANDING FLUIDS. WILL REMEDIATE SOIL.,Other,Crude,Producer,,None,
2680,Equipment Failure,0.0,ANDREWS,3/4/2012,8,Flow Line,NIX (CLEARFORK),,152.0,0.0,50.0,,8802 JV-P FUHRMAN,32154.0,"SEC. 12, BLK A-47, PSL SURVEY",2012.0,50.0,"BTA OIL PRODUCERS, LLC",0.0,SOIL REMEDIATION PLAN IN PROGRESS.,Other,Products,Producer,,None,
2681,Equipment Failure,0.0,ANDREWS,3/4/2012,8,Other,FUHRMAN-MASCHO,,183.0,0.0,52.0,,"NIX, E. C.",10701.0,"SEC.19, BLK A-47 PSL",2012.0,2.0,"SANDRIDGE EXPL. AND PROD., LLC",50.0,FREE FLUIDS RECOVERED AND SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
2682,Human Error - Other,0.0,NACOGDOCHES,3/4/2012,6,Tank Battery,TRAWICK (PETTIT-TP CONS.),,195.0,238107.0,20.0,,GRAFTON,0.0,"STEVEN STRODE SVY, A-502",2012.0,4.0,"SAMSON LONE STAR, LLC",16.0,VACUUMED FREE FLUID AND REMEDIATED AREA.,Other,Gas Well Liquid,Producer,,None,
2683,Equipment Failure,0.0,HARDIN,3/4/2012,3,Tank Battery,"YONAJOSA, SW. (LOWER YEGUA)",,190.0,222301.0,220.0,,"MILLS, NONA",0.0,NONA MILLS,2012.0,0.0,PMO,220.0,AREA REMEDIATED.,Other,Crude,Producer,,None,
2684,Equipment Failure,0.0,MIDLAND,3/3/2012,8,Tank Battery,SPRABERRY (TREND AREA),,160.0,0.0,75.0,,"O DANIEL, E. T.",6451.0,"-101.818273, 31.929843",2012.0,5.0,"PIONEER NATURAL RES. USA, INC.",70.0,RECOVERED FREE FLUID AND SOIL REMEDIATION PLAN IN PROGRESS./,Other,Crude,Producer,,None,
2685,Equipment Failure,0.0,HOWARD,3/3/2012,7B,Tank Battery,KATZ (STRAWN),,393.0,0.0,5.0,,ORSBORN UNIT,30432.0,INJECTION STATION,2012.0,3.0,APACHE CORPORATION,2.0,RECOVER FREE FLUID AND REMEDIATE AREA.,Other,Crude,Producer,,None,
2686,Equipment Failure,0.0,WILSON,3/3/2012,1,Valve,EAGLEVILLE (EAGLE FORD-1),,364.0,0.0,15.0,,PAWELEK MOY UNIT,15479.0,"SECTION 27, ABSTRACT 13, FLORES, DG SURVEY",2012.0,0.0,"EOG RESOURCES, INC.",15.0,FREE FLUID RECOVERED AND SOIL REMEDIATED.,Other,Crude,Producer,,None,
2687,Equipment Failure,0.0,GAINES,3/3/2012,8A,Tank Battery,"G-M-K, SOUTH (SAN ANDRES)",,180.0,0.0,2.0,,BECKHAM,68119.0,"SEC.116, BLK H, D&W RR COMPANY SURVEY",2012.0,2.0,STANOLIND OPERATING LLC,0.0,CHEMICAL TANK CAUGHT FIRE AND IS BEING RELOCATED.,Other,Crude,Producer,,None,
